"Step","vital-cosmos-120 - trial_state/additional_info.weighted_total_score","vital-cosmos-120 - trial_state/additional_info.weighted_total_score__MIN","vital-cosmos-120 - trial_state/additional_info.weighted_total_score__MAX"
"1","17.22311888999192","17.22311888999192","17.22311888999192"
"2","16.568465131506674","16.568465131506674","16.568465131506674"
"3","16.734871534122387","16.734871534122387","16.734871534122387"
"4","18.181827492136637","18.181827492136637","18.181827492136637"
"5","17.007841402119666","17.007841402119666","17.007841402119666"
"6","17.760029038761385","17.760029038761385","17.760029038761385"
"7","17.31912528765959","17.31912528765959","17.31912528765959"
"8","17.473078703874407","17.473078703874407","17.473078703874407"
"9","17.04011367762986","17.04011367762986","17.04011367762986"
"10","18.073391085270572","18.073391085270572","18.073391085270572"
"11","15.097129363066347","15.097129363066347","15.097129363066347"
"12","16.44115460440252","16.44115460440252","16.44115460440252"
"13","16.596930356791994","16.596930356791994","16.596930356791994"
"14","15.127244888549768","15.127244888549768","15.127244888549768"
"15","14.221270559880669","14.221270559880669","14.221270559880669"
"16","15.729517037607422","15.729517037607422","15.729517037607422"
"17","15.380241730556733","15.380241730556733","15.380241730556733"
"18","15.955770294806863","15.955770294806863","15.955770294806863"
"19","16.36100846334483","16.36100846334483","16.36100846334483"
"20","13.474186829427875","13.474186829427875","13.474186829427875"
"21","13.845242345442687","13.845242345442687","13.845242345442687"
"22","14.930793573627318","14.930793573627318","14.930793573627318"
"23","13.473197572110053","13.473197572110053","13.473197572110053"
"24","14.325781169524507","14.325781169524507","14.325781169524507"
"25","13.045220279603653","13.045220279603653","13.045220279603653"
"26","13.331068004078137","13.331068004078137","13.331068004078137"
"27","11.669994038020779","11.669994038020779","11.669994038020779"
"28","11.479221274670051","11.479221274670051","11.479221274670051"
"29","13.325217562987973","13.325217562987973","13.325217562987973"
"30","12.166207316306926","12.166207316306926","12.166207316306926"
"31","10.41129025985934","10.41129025985934","10.41129025985934"
"32","11.091903269357553","11.091903269357553","11.091903269357553"
"33","11.052851046827376","11.052851046827376","11.052851046827376"
"34","9.987518258632925","9.987518258632925","9.987518258632925"
"35","11.808598642436095","11.808598642436095","11.808598642436095"
"36","10.336701112514238","10.336701112514238","10.336701112514238"
