"Step","vital-cosmos-120 - trial_state/additional_info.density_score","vital-cosmos-120 - trial_state/additional_info.density_score__MIN","vital-cosmos-120 - trial_state/additional_info.density_score__MAX"
"1","0.8734999999999999","0.8734999999999999","0.8734999999999999"
"2","0.8311999999999999","0.8311999999999999","0.8311999999999999"
"3","0.8245","0.8245","0.8245"
"4","0.878","0.878","0.878"
"5","0.8607","0.8607","0.8607"
"6","0.8702","0.8702","0.8702"
"7","0.857","0.857","0.857"
"8","0.8556","0.8556","0.8556"
"9","0.844","0.844","0.844"
"10","0.885","0.885","0.885"
"11","0.7222","0.7222","0.7222"
"12","0.8308","0.8308","0.8308"
"13","0.8305","0.8305","0.8305"
"14","0.7525999999999999","0.7525999999999999","0.7525999999999999"
"15","0.6674","0.6674","0.6674"
"16","0.7693","0.7693","0.7693"
"17","0.7954","0.7954","0.7954"
"18","0.8128","0.8128","0.8128"
"19","0.8287","0.8287","0.8287"
"20","0.5755","0.5755","0.5755"
"21","0.6676","0.6676","0.6676"
"22","0.7475","0.7475","0.7475"
"23","0.7109","0.7109","0.7109"
"24","0.6906","0.6906","0.6906"
"25","0.6854","0.6854","0.6854"
"26","0.6733","0.6733","0.6733"
"27","0.5607","0.5607","0.5607"
"28","0.40090000000000003","0.40090000000000003","0.40090000000000003"
"29","0.6117","0.6117","0.6117"
"30","0.5152","0.5152","0.5152"
"31","0.29579999999999995","0.29579999999999995","0.29579999999999995"
"32","0.36139999999999994","0.36139999999999994","0.36139999999999994"
"33","0.3087","0.3087","0.3087"
"34","0.27949999999999997","0.27949999999999997","0.27949999999999997"
"35","0.43989999999999996","0.43989999999999996","0.43989999999999996"
"36","0.40559999999999996","0.40559999999999996","0.40559999999999996"
"37","0.33509999999999995","0.33509999999999995","0.33509999999999995"
"38","0.2629","0.2629","0.2629"
"39","0.3406","0.3406","0.3406"
"40","0.23619999999999997","0.23619999999999997","0.23619999999999997"
"41","0.28500000000000003","0.28500000000000003","0.28500000000000003"
"42","0.33830000000000005","0.33830000000000005","0.33830000000000005"
"43","0.23019999999999996","0.23019999999999996","0.23019999999999996"
"44","0.23229999999999995","0.23229999999999995","0.23229999999999995"
"45","0.1622","0.1622","0.1622"
"46","0.18369999999999997","0.18369999999999997","0.18369999999999997"
"47","0.06699999999999995","0.06699999999999995","0.06699999999999995"
"48","0.02939999999999998","0.02939999999999998","0.02939999999999998"
"49","0.12860000000000005","0.12860000000000005","0.12860000000000005"
"50","0.09009999999999996","0.09009999999999996","0.09009999999999996"
"51","0.11729999999999996","0.11729999999999996","0.11729999999999996"
"52","0.05900000000000005","0.05900000000000005","0.05900000000000005"
"53","0.15869999999999995","0.15869999999999995","0.15869999999999995"
"54","0.017000000000000015","0.017000000000000015","0.017000000000000015"
"55","0.10660000000000003","0.10660000000000003","0.10660000000000003"
"56","0.09260000000000002","0.09260000000000002","0.09260000000000002"
"57","0.1602","0.1602","0.1602"
"58","0.13939999999999997","0.13939999999999997","0.13939999999999997"
"59","0.13180000000000003","0.13180000000000003","0.13180000000000003"
"60","0.01870000000000005","0.01870000000000005","0.01870000000000005"
