"Step","vital-cosmos-120 - trial_state/additional_info.dipole_score","vital-cosmos-120 - trial_state/additional_info.dipole_score__MIN","vital-cosmos-120 - trial_state/additional_info.dipole_score__MAX"
"1","0.4630686916100158","0.4630686916100158","0.4630686916100158"
"2","0.32683977817150267","0.32683977817150267","0.32683977817150267"
"3","0.19410770160754875","0.19410770160754875","0.19410770160754875"
"4","0.4797570299194326","0.4797570299194326","0.4797570299194326"
"5","0.33650002520711186","0.33650002520711186","0.33650002520711186"
"6","0.42602838185042147","0.42602838185042147","0.42602838185042147"
"7","0.3754416591602102","0.3754416591602102","0.3754416591602102"
"8","0.430229892591289","0.430229892591289","0.430229892591289"
"9","0.2611641587603487","0.2611641587603487","0.2611641587603487"
"10","0.4878231790424809","0.4878231790424809","0.4878231790424809"
"11","0.15302663008078365","0.15302663008078365","0.15302663008078365"
"12","0.3158825660833092","0.3158825660833092","0.3158825660833092"
"13","0.28759801355960635","0.28759801355960635","0.28759801355960635"
"14","0.17198906088135624","0.17198906088135624","0.17198906088135624"
"15","0.11421377009727551","0.11421377009727551","0.11421377009727551"
"16","0.1952020042525358","0.1952020042525358","0.1952020042525358"
"17","0.3628348834623407","0.3628348834623407","0.3628348834623407"
"18","0.3304484645113756","0.3304484645113756","0.3304484645113756"
"19","0.38572381319563387","0.38572381319563387","0.38572381319563387"
"20","0.05387449368709246","0.05387449368709246","0.05387449368709246"
"21","0.19265199707542224","0.19265199707542224","0.19265199707542224"
"22","0.2653430096498658","0.2653430096498658","0.2653430096498658"
"23","0.3401027874244622","0.3401027874244622","0.3401027874244622"
"24","0.20253795264508062","0.20253795264508062","0.20253795264508062"
"25","0.35440207327562423","0.35440207327562423","0.35440207327562423"
"26","0.36021567350938805","0.36021567350938805","0.36021567350938805"
"27","0.3498925135029636","0.3498925135029636","0.3498925135029636"
"28","0.002840377789929849","0.002840377789929849","0.002840377789929849"
"29","0.19545900775367203","0.19545900775367203","0.19545900775367203"
"30","0.15668205641276534","0.15668205641276534","0.15668205641276534"
"31","0.009413897519287118","0.009413897519287118","0.009413897519287118"
"32","0.012584779159654669","0.012584779159654669","0.012584779159654669"
"33","0.11554241982635916","0.11554241982635916","0.11554241982635916"
"34","0.012275713873047156","0.012275713873047156","0.012275713873047156"
"35","0.007262635625056468","0.007262635625056468","0.007262635625056468"
"36","0.201627989784661","0.201627989784661","0.201627989784661"
"37","0.15895183614849295","0.15895183614849295","0.15895183614849295"
"38","0.02539800286767846","0.02539800286767846","0.02539800286767846"
"39","0.15412760744550558","0.15412760744550558","0.15412760744550558"
"40","0.03415723853535624","0.03415723853535624","0.03415723853535624"
"41","0.12192941831890991","0.12192941831890991","0.12192941831890991"
"42","0.19913648286122515","0.19913648286122515","0.19913648286122515"
