"Step","vital-cosmos-120 - trial_state/config.vdw_b","vital-cosmos-120 - trial_state/config.vdw_b__MIN","vital-cosmos-120 - trial_state/config.vdw_b__MAX"
"1","658.2137824967504","658.2137824967504","658.2137824967504"
"2","760.487386956811","760.487386956811","760.487386956811"
"3","618.8183356076479","618.8183356076479","618.8183356076479"
"4","653.655019402504","653.655019402504","653.655019402504"
"5","680.2259773015976","680.2259773015976","680.2259773015976"
"6","601.0899890214205","601.0899890214205","601.0899890214205"
"7","699.814561009407","699.814561009407","699.814561009407"
"8","793.8866084441543","793.8866084441543","793.8866084441543"
"9","672.8513978381602","672.8513978381602","672.8513978381602"
"10","693.0880294447508","693.0880294447508","693.0880294447508"
"11","678.3440728435103","678.3440728435103","678.3440728435103"
"12","645.348309352994","645.348309352994","645.348309352994"
"13","733.3796724677086","733.3796724677086","733.3796724677086"
"14","744.3328806586239","744.3328806586239","744.3328806586239"
"15","673.3364552259445","673.3364552259445","673.3364552259445"
"16","703.8127909309349","703.8127909309349","703.8127909309349"
"17","667.7133705466986","667.7133705466986","667.7133705466986"
"18","705.1111834123731","705.1111834123731","705.1111834123731"
"19","792.193803563714","792.193803563714","792.193803563714"
"20","627.7128864079714","627.7128864079714","627.7128864079714"
"21","635.419156216085","635.419156216085","635.419156216085"
"22","706.7505642771721","706.7505642771721","706.7505642771721"
"23","748.3528630807996","748.3528630807996","748.3528630807996"
"24","765.7220754772425","765.7220754772425","765.7220754772425"
"25","693.5791184549731","693.5791184549731","693.5791184549731"
"26","778.1369768083096","778.1369768083096","778.1369768083096"
"27","737.4198002740741","737.4198002740741","737.4198002740741"
"28","665.5767502263188","665.5767502263188","665.5767502263188"
"29","640.739162825048","640.739162825048","640.739162825048"
"30","713.9382466673851","713.9382466673851","713.9382466673851"
"31","724.9804930761456","724.9804930761456","724.9804930761456"
"32","776.0728484019637","776.0728484019637","776.0728484019637"
"33","662.3996701091528","662.3996701091528","662.3996701091528"
"34","638.6506207287312","638.6506207287312","638.6506207287312"
"35","617.3605820164084","617.3605820164084","617.3605820164084"
"36","636.0646561519776","636.0646561519776","636.0646561519776"
"37","611.9506081566215","611.9506081566215","611.9506081566215"
"38","681.7341031506658","681.7341031506658","681.7341031506658"
"39","631.2813706696033","631.2813706696033","631.2813706696033"
"40","787.0647225528955","787.0647225528955","787.0647225528955"
"41","728.5859422758222","728.5859422758222","728.5859422758222"
"42","720.8190213888884","720.8190213888884","720.8190213888884"
"43","796.1114451519425","796.1114451519425","796.1114451519425"
"44","721.4818360948101","721.4818360948101","721.4818360948101"
"45","691.1668624728918","691.1668624728918","691.1668624728918"
"46","603.299848176539","603.299848176539","603.299848176539"
"47","726.4020334929228","726.4020334929228","726.4020334929228"
"48","774.5528899133205","774.5528899133205","774.5528899133205"
"49","742.6482064649463","742.6482064649463","742.6482064649463"
"50","790.1319677010179","790.1319677010179","790.1319677010179"
"51","744.3119715899229","744.3119715899229","744.3119715899229"
"52","615.1514835655689","615.1514835655689","615.1514835655689"
"53","717.1980539979575","717.1980539979575","717.1980539979575"
"54","675.3127565525356","675.3127565525356","675.3127565525356"
"55","702.9989790171385","702.9989790171385","702.9989790171385"
"56","797.9999803006649","797.9999803006649","797.9999803006649"
"57","695.7988498732448","695.7988498732448","695.7988498732448"
"58","752.5461500510573","752.5461500510573","752.5461500510573"
"59","763.4878033772111","763.4878033772111","763.4878033772111"
"60","622.8821495547891","622.8821495547891","622.8821495547891"
"61","669.4119779058586","669.4119779058586","669.4119779058586"
"62","623.7934977747217","623.7934977747217","623.7934977747217"
"63","754.7796629369259","754.7796629369259","754.7796629369259"
"64","700.2764529328058","700.2764529328058","700.2764529328058"
"65","669.1482840105891","669.1482840105891","669.1482840105891"
"66","782.9505914822221","782.9505914822221","782.9505914822221"
"67","651.5191672369838","651.5191672369838","651.5191672369838"
"68","770.4623704776168","770.4623704776168","770.4623704776168"
"69","720.6905241072408","720.6905241072408","720.6905241072408"
"70","786.1063918563103","786.1063918563103","786.1063918563103"
"71","681.1447088438424","681.1447088438424","681.1447088438424"
"72","649.4868556037545","649.4868556037545","649.4868556037545"
"73","725.8862740123483","725.8862740123483","725.8862740123483"
"74","678.0641971156001","678.0641971156001","678.0641971156001"
"75","716.0496873781085","716.0496873781085","716.0496873781085"
"76","710.9143240377307","710.9143240377307","710.9143240377307"
"77","651.6586865312831","651.6586865312831","651.6586865312831"
"78","722.2746162779538","722.2746162779538","722.2746162779538"
"79","685.7505824416876","685.7505824416876","685.7505824416876"
"80","629.7991374507546","629.7991374507546","629.7991374507546"
"81","677.597109303839","677.597109303839","677.597109303839"
"82","619.0659964079634","619.0659964079634","619.0659964079634"
"83","751.001736427607","751.001736427607","751.001736427607"
"84","688.4428761628086","688.4428761628086","688.4428761628086"
"85","735.2325424657585","735.2325424657585","735.2325424657585"
"86","744.657233522439","744.657233522439","744.657233522439"
"87","656.2252798100662","656.2252798100662","656.2252798100662"
"88","650.1412063737961","650.1412063737961","650.1412063737961"
"89","715.1983743082837","715.1983743082837","715.1983743082837"
"90","764.7650851381072","764.7650851381072","764.7650851381072"
"91","748.4332021900967","748.4332021900967","748.4332021900967"
"92","798.5738387227212","798.5738387227212","798.5738387227212"
"93","667.9285093480356","667.9285093480356","667.9285093480356"
"94","763.1141511717569","763.1141511717569","763.1141511717569"
"95","777.6390780059081","777.6390780059081","777.6390780059081"
"96","701.1958315409572","701.1958315409572","701.1958315409572"
"97","776.176445129408","776.176445129408","776.176445129408"
"98","773.510228154526","773.510228154526","773.510228154526"
"99","673.3364552259445","673.3364552259445","673.3364552259445"
"100","682.9992813099133","682.9992813099133","682.9992813099133"
"101","686.6893456754073","686.6893456754073","686.6893456754073"
"102","727.9794582089385","727.9794582089385","727.9794582089385"
"103","779.3060258200177","779.3060258200177","779.3060258200177"
"104","743.2840970121621","743.2840970121621","743.2840970121621"
"105","673.2986900925933","673.2986900925933","673.2986900925933"
"106","733.4473725540165","733.4473725540165","733.4473725540165"
"107","636.6340667610867","636.6340667610867","636.6340667610867"
"108","693.8638750988755","693.8638750988755","693.8638750988755"
"109","790.3914021489493","790.3914021489493","790.3914021489493"
"110","758.761103813703","758.761103813703","758.761103813703"
"111","685.2541064254616","685.2541064254616","685.2541064254616"
"112","707.2023081109267","707.2023081109267","707.2023081109267"
"113","732.5806378989513","732.5806378989513","732.5806378989513"
"114","766.4886975526484","766.4886975526484","766.4886975526484"
"115","730.1228949388869","730.1228949388869","730.1228949388869"
"116","716.2470206250478","716.2470206250478","716.2470206250478"
"117","695.2088811506721","695.2088811506721","695.2088811506721"
"118","781.1439672097431","781.1439672097431","781.1439672097431"
"119","619.4954647106777","619.4954647106777","619.4954647106777"
"120","618.4135251254222","618.4135251254222","618.4135251254222"
"121","702.9989790171385","702.9989790171385","702.9989790171385"
"122","642.4871928823768","642.4871928823768","642.4871928823768"
"123","606.7199020405545","606.7199020405545","606.7199020405545"
"124","613.8673427567916","613.8673427567916","613.8673427567916"
"125","662.0224926484776","662.0224926484776","662.0224926484776"
"126","610.48324507672","610.48324507672","610.48324507672"
"127","795.1281902631054","795.1281902631054","795.1281902631054"
"128","714.5779010155178","714.5779010155178","714.5779010155178"
