"Step","vital-cosmos-120 - trial_state/config.vdw_a","vital-cosmos-120 - trial_state/config.vdw_a__MIN","vital-cosmos-120 - trial_state/config.vdw_a__MAX"
"114","790207.8385881699","790207.8385881699","790207.8385881699"
"115","758327.6867866516","758327.6867866516","758327.6867866516"
"116","731886.0136253228","731886.0136253228","731886.0136253228"
"117","759840.0455895807","759840.0455895807","759840.0455895807"
"118","790989.4386506911","790989.4386506911","790989.4386506911"
"119","619543.0040408396","619543.0040408396","619543.0040408396"
"120","797571.3529501471","797571.3529501471","797571.3529501471"
"121","755668.1072767312","755668.1072767312","755668.1072767312"
"122","619876.8422007561","619876.8422007561","619876.8422007561"
"123","620855.4139852716","620855.4139852716","620855.4139852716"
"124","791777.3223960293","791777.3223960293","791777.3223960293"
"125","631904.9667369401","631904.9667369401","631904.9667369401"
"126","792418.9248627125","792418.9248627125","792418.9248627125"
"127","621970.433387684","621970.433387684","621970.433387684"
"128","686022.3166644573","686022.3166644573","686022.3166644573"
"129","796888.3579878174","796888.3579878174","796888.3579878174"
"130","678633.3572430662","678633.3572430662","678633.3572430662"
"131","757560.1300935682","757560.1300935682","757560.1300935682"
"132","770712.4150946578","770712.4150946578","770712.4150946578"
"133","792884.1126140393","792884.1126140393","792884.1126140393"
"134","791281.8941293242","791281.8941293242","791281.8941293242"
"135","775472.5626238257","775472.5626238257","775472.5626238257"
"136","774219.4604329373","774219.4604329373","774219.4604329373"
"137","794735.6409428713","794735.6409428713","794735.6409428713"
"138","766384.0079765682","766384.0079765682","766384.0079765682"
"139","791150.7461303761","791150.7461303761","791150.7461303761"
"140","673580.7682158448","673580.7682158448","673580.7682158448"
"141","780249.2322053697","780249.2322053697","780249.2322053697"
"142","785319.9727194514","785319.9727194514","785319.9727194514"
"143","631274.846641035","631274.846641035","631274.846641035"
"144","648465.5034041398","648465.5034041398","648465.5034041398"
"145","740136.1688354267","740136.1688354267","740136.1688354267"
"146","658696.6620297523","658696.6620297523","658696.6620297523"
"147","623197.9661059498","623197.9661059498","623197.9661059498"
"148","677534.8292977335","677534.8292977335","677534.8292977335"
"149","669093.7165845103","669093.7165845103","669093.7165845103"
"150","784170.4294927059","784170.4294927059","784170.4294927059"
"151","741656.7858480801","741656.7858480801","741656.7858480801"
"152","671242.9824943073","671242.9824943073","671242.9824943073"
"153","643769.6749729703","643769.6749729703","643769.6749729703"
"154","695460.8293976145","695460.8293976145","695460.8293976145"
"155","645137.9121954177","645137.9121954177","645137.9121954177"
"156","731306.3183134818","731306.3183134818","731306.3183134818"
"157","660540.2942682583","660540.2942682583","660540.2942682583"
"158","610364.6854697309","610364.6854697309","610364.6854697309"
"159","624829.1353304253","624829.1353304253","624829.1353304253"
"160","695354.7622814528","695354.7622814528","695354.7622814528"
"161","611189.8848182249","611189.8848182249","611189.8848182249"
"162","706037.8265035119","706037.8265035119","706037.8265035119"
"163","713542.6302976101","713542.6302976101","713542.6302976101"
"164","661588.5451500402","661588.5451500402","661588.5451500402"
"165","733207.7625682636","733207.7625682636","733207.7625682636"
"166","743460.4490885301","743460.4490885301","743460.4490885301"
"167","733489.9100613261","733489.9100613261","733489.9100613261"
"168","665876.3781151214","665876.3781151214","665876.3781151214"
"169","648600.7125349005","648600.7125349005","648600.7125349005"
"170","656629.6076341717","656629.6076341717","656629.6076341717"
"171","657690.3435463454","657690.3435463454","657690.3435463454"
"172","622683.6426565839","622683.6426565839","622683.6426565839"
"173","601897.5227014417","601897.5227014417","601897.5227014417"
"174","757997.0043812405","757997.0043812405","757997.0043812405"
"175","663843.8096490223","663843.8096490223","663843.8096490223"
"176","675989.3686880295","675989.3686880295","675989.3686880295"
"177","701963.9232679809","701963.9232679809","701963.9232679809"
"178","670517.1916575967","670517.1916575967","670517.1916575967"
"179","623197.9661059498","623197.9661059498","623197.9661059498"
"180","708258.3230491142","708258.3230491142","708258.3230491142"
"181","720109.6601048145","720109.6601048145","720109.6601048145"
"182","757581.4246458947","757581.4246458947","757581.4246458947"
"183","648847.158617364","648847.158617364","648847.158617364"
"184","711920.4597226846","711920.4597226846","711920.4597226846"
"185","701517.5107069325","701517.5107069325","701517.5107069325"
"186","648091.5070225705","648091.5070225705","648091.5070225705"
"187","656137.6480716415","656137.6480716415","656137.6480716415"
"188","648405.4434628155","648405.4434628155","648405.4434628155"
"189","670119.2286448258","670119.2286448258","670119.2286448258"
"190","661134.2606104942","661134.2606104942","661134.2606104942"
"191","764663.2743101015","764663.2743101015","764663.2743101015"
"192","657487.9576993706","657487.9576993706","657487.9576993706"
"193","659969.3094464027","659969.3094464027","659969.3094464027"
"194","661183.3698838836","661183.3698838836","661183.3698838836"
"195","650247.3177539505","650247.3177539505","650247.3177539505"
"196","657481.5091357873","657481.5091357873","657481.5091357873"
"197","654275.9596362223","654275.9596362223","654275.9596362223"
"198","764515.320509328","764515.320509328","764515.320509328"
"199","658160.2015564386","658160.2015564386","658160.2015564386"
"200","661725.1181960269","661725.1181960269","661725.1181960269"
"201","796076.7984079208","796076.7984079208","796076.7984079208"
"202","603739.8512045045","603739.8512045045","603739.8512045045"
"203","643357.1822620957","643357.1822620957","643357.1822620957"
"204","753803.0079221439","753803.0079221439","753803.0079221439"
"205","656635.7303334255","656635.7303334255","656635.7303334255"
"206","707528.2060370041","707528.2060370041","707528.2060370041"
"207","696569.5560443599","696569.5560443599","696569.5560443599"
"208","650239.2713229927","650239.2713229927","650239.2713229927"
"209","677438.0030361622","677438.0030361622","677438.0030361622"
"210","650935.238188776","650935.238188776","650935.238188776"
"211","644137.4373380252","644137.4373380252","644137.4373380252"
"212","717080.4002034083","717080.4002034083","717080.4002034083"
"213","721440.4095276496","721440.4095276496","721440.4095276496"
"214","633124.4440741594","633124.4440741594","633124.4440741594"
"215","610022.241592974","610022.241592974","610022.241592974"
"216","658898.9149864283","658898.9149864283","658898.9149864283"
"217","634953.0941322157","634953.0941322157","634953.0941322157"
"218","685724.0479302935","685724.0479302935","685724.0479302935"
"219","670919.8381071475","670919.8381071475","670919.8381071475"
"220","624243.0737339942","624243.0737339942","624243.0737339942"
"221","629841.657721482","629841.657721482","629841.657721482"
"222","707992.8316147461","707992.8316147461","707992.8316147461"
"223","727624.0171508697","727624.0171508697","727624.0171508697"
"224","799266.3906261162","799266.3906261162","799266.3906261162"
"225","760573.9277048348","760573.9277048348","760573.9277048348"
"226","665324.1863343213","665324.1863343213","665324.1863343213"
"227","656347.0312656694","656347.0312656694","656347.0312656694"
"228","670198.3431772958","670198.3431772958","670198.3431772958"
"229","640975.8135910762","640975.8135910762","640975.8135910762"
"230","719040.8214730928","719040.8214730928","719040.8214730928"
"231","692679.8691366785","692679.8691366785","692679.8691366785"
"232","695354.7622814528","695354.7622814528","695354.7622814528"
"233","645150.031533111","645150.031533111","645150.031533111"
"234","604615.9369643201","604615.9369643201","604615.9369643201"
"235","617432.9340041644","617432.9340041644","617432.9340041644"
"236","628964.1482356968","628964.1482356968","628964.1482356968"
"237","651451.4546223003","651451.4546223003","651451.4546223003"
"238","642527.6479644581","642527.6479644581","642527.6479644581"
"239","632573.0657012049","632573.0657012049","632573.0657012049"
"240","642829.9719416559","642829.9719416559","642829.9719416559"
"241","627832.883350949","627832.883350949","627832.883350949"
"242","628153.7938425218","628153.7938425218","628153.7938425218"
"243","645137.9121954177","645137.9121954177","645137.9121954177"
"244","643404.7097030529","643404.7097030529","643404.7097030529"
"245","639693.4183206281","639693.4183206281","639693.4183206281"
"246","650273.758366706","650273.758366706","650273.758366706"
"247","628052.594203514","628052.594203514","628052.594203514"
"248","791822.4626726864","791822.4626726864","791822.4626726864"
"249","626572.8469143572","626572.8469143572","626572.8469143572"
"250","605445.2920234768","605445.2920234768","605445.2920234768"
"251","632637.6099741779","632637.6099741779","632637.6099741779"
"252","623028.3133239136","623028.3133239136","623028.3133239136"
"253","797840.598527817","797840.598527817","797840.598527817"
"254","600327.7477254365","600327.7477254365","600327.7477254365"
"255","699422.7195948622","699422.7195948622","699422.7195948622"
"256","626572.8469143572","626572.8469143572","626572.8469143572"
"257","627447.6529776814","627447.6529776814","627447.6529776814"
"258","626538.1181918717","626538.1181918717","626538.1181918717"
"259","639403.2096754276","639403.2096754276","639403.2096754276"
"260","630636.5996712496","630636.5996712496","630636.5996712496"
"261","796119.930772468","796119.930772468","796119.930772468"
"262","622935.0591613355","622935.0591613355","622935.0591613355"
"263","611770.1762277959","611770.1762277959","611770.1762277959"
"264","602475.2717772898","602475.2717772898","602475.2717772898"
"265","616932.6786754405","616932.6786754405","616932.6786754405"
"266","646195.0399341482","646195.0399341482","646195.0399341482"
"267","644526.1931282982","644526.1931282982","644526.1931282982"
"268","645896.4222874186","645896.4222874186","645896.4222874186"
"269","644527.3315970011","644527.3315970011","644527.3315970011"
"270","646635.636056294","646635.636056294","646635.636056294"
"271","643434.645576889","643434.645576889","643434.645576889"
"272","647357.2697420224","647357.2697420224","647357.2697420224"
"273","643404.7097030529","643404.7097030529","643404.7097030529"
"274","641493.778556868","641493.778556868","641493.778556868"
"275","643434.645576889","643434.645576889","643434.645576889"
"276","621776.0359490106","621776.0359490106","621776.0359490106"
"277","653844.9255703023","653844.9255703023","653844.9255703023"
"278","637846.3644925249","637846.3644925249","637846.3644925249"
"279","633268.0884606887","633268.0884606887","633268.0884606887"
"280","644154.6383914277","644154.6383914277","644154.6383914277"
"281","649741.042927811","649741.042927811","649741.042927811"
"282","658068.2961925871","658068.2961925871","658068.2961925871"
"283","600384.7118886453","600384.7118886453","600384.7118886453"
"284","631505.0590584511","631505.0590584511","631505.0590584511"
"285","646012.0174375656","646012.0174375656","646012.0174375656"
"286","683514.496534458","683514.496534458","683514.496534458"
"287","757631.3850118872","757631.3850118872","757631.3850118872"
"288","648667.5104270005","648667.5104270005","648667.5104270005"
"289","659647.527245228","659647.527245228","659647.527245228"
"290","657869.3752947246","657869.3752947246","657869.3752947246"
"291","677376.9840932072","677376.9840932072","677376.9840932072"
"292","668292.5091312774","668292.5091312774","668292.5091312774"
"293","668299.5856483044","668299.5856483044","668299.5856483044"
"294","662041.146529181","662041.146529181","662041.146529181"
"295","660756.1432099143","660756.1432099143","660756.1432099143"
"296","775177.4746847062","775177.4746847062","775177.4746847062"
"297","655339.4682852763","655339.4682852763","655339.4682852763"
"298","651493.0608412212","651493.0608412212","651493.0608412212"
"299","650940.731012945","650940.731012945","650940.731012945"
"300","704199.2256160615","704199.2256160615","704199.2256160615"
"301","781261.1190155457","781261.1190155457","781261.1190155457"
"302","651074.1365834988","651074.1365834988","651074.1365834988"
"303","630668.7801437338","630668.7801437338","630668.7801437338"
"304","604647.4810265251","604647.4810265251","604647.4810265251"
"305","748845.7173193053","748845.7173193053","748845.7173193053"
"306","639592.3678726865","639592.3678726865","639592.3678726865"
"307","613711.692479297","613711.692479297","613711.692479297"
"308","629334.6801399158","629334.6801399158","629334.6801399158"
"309","619582.85438882","619582.85438882","619582.85438882"
"310","609065.2764307455","609065.2764307455","609065.2764307455"
"311","639485.5450104459","639485.5450104459","639485.5450104459"
"312","720845.8185801374","720845.8185801374","720845.8185801374"
"313","782335.316649937","782335.316649937","782335.316649937"
"314","604658.3683628388","604658.3683628388","604658.3683628388"
"315","777862.1542166651","777862.1542166651","777862.1542166651"
"316","604386.4327317227","604386.4327317227","604386.4327317227"
"317","617127.7940013122","617127.7940013122","617127.7940013122"
"318","614053.2625002902","614053.2625002902","614053.2625002902"
"319","668815.0339991458","668815.0339991458","668815.0339991458"
"320","616373.9914199874","616373.9914199874","616373.9914199874"
"321","619890.531321631","619890.531321631","619890.531321631"
"322","611548.3101563269","611548.3101563269","611548.3101563269"
"323","624178.82069911","624178.82069911","624178.82069911"
"324","609076.5464763321","609076.5464763321","609076.5464763321"
"325","607368.3613003977","607368.3613003977","607368.3613003977"
"326","620223.6267171517","620223.6267171517","620223.6267171517"
"327","660712.120215235","660712.120215235","660712.120215235"
"328","625787.8210106671","625787.8210106671","625787.8210106671"
"329","614936.9300567665","614936.9300567665","614936.9300567665"
"330","607381.5316786771","607381.5316786771","607381.5316786771"
"331","624112.1490953278","624112.1490953278","624112.1490953278"
"332","626338.1478312785","626338.1478312785","626338.1478312785"
"333","607778.5824978597","607778.5824978597","607778.5824978597"
"334","622683.7134825982","622683.7134825982","622683.7134825982"
"335","607586.0741039469","607586.0741039469","607586.0741039469"
"336","606810.39845558","606810.39845558","606810.39845558"
"337","609925.95626757","609925.95626757","609925.95626757"
"338","621662.4206948177","621662.4206948177","621662.4206948177"
"339","608494.9902437918","608494.9902437918","608494.9902437918"
"340","622716.375799251","622716.375799251","622716.375799251"
"341","609818.8470934217","609818.8470934217","609818.8470934217"
"342","621186.3461628389","621186.3461628389","621186.3461628389"
"343","619008.4333827883","619008.4333827883","619008.4333827883"
"344","660246.9706558686","660246.9706558686","660246.9706558686"
"345","622639.854470119","622639.854470119","622639.854470119"
"346","608059.2571525979","608059.2571525979","608059.2571525979"
"347","612919.3308619756","612919.3308619756","612919.3308619756"
"348","605636.7985531407","605636.7985531407","605636.7985531407"
"349","606977.7754137403","606977.7754137403","606977.7754137403"
"350","614396.4226386991","614396.4226386991","614396.4226386991"
"351","622911.8671741169","622911.8671741169","622911.8671741169"
"352","623947.4588737418","623947.4588737418","623947.4588737418"
"353","668929.6382488133","668929.6382488133","668929.6382488133"
"354","650662.7149525788","650662.7149525788","650662.7149525788"
"355","652514.7062602689","652514.7062602689","652514.7062602689"
"356","618522.7824954727","618522.7824954727","618522.7824954727"
"357","607297.1580153268","607297.1580153268","607297.1580153268"
"358","623995.8854901621","623995.8854901621","623995.8854901621"
"359","643036.2249617041","643036.2249617041","643036.2249617041"
"360","614902.6296283896","614902.6296283896","614902.6296283896"
"361","619103.0088181996","619103.0088181996","619103.0088181996"
"362","618340.3715926677","618340.3715926677","618340.3715926677"
"363","616940.5197899782","616940.5197899782","616940.5197899782"
"364","648672.2419038225","648672.2419038225","648672.2419038225"
"365","606412.1665622421","606412.1665622421","606412.1665622421"
"366","621307.9963074978","621307.9963074978","621307.9963074978"
"367","614355.9729183605","614355.9729183605","614355.9729183605"
"368","611801.7123359976","611801.7123359976","611801.7123359976"
"369","647447.6730270381","647447.6730270381","647447.6730270381"
"370","643553.9053954631","643553.9053954631","643553.9053954631"
"371","608358.2602570727","608358.2602570727","608358.2602570727"
"372","622701.638449413","622701.638449413","622701.638449413"
"373","614895.5786538327","614895.5786538327","614895.5786538327"
"374","605674.2275407837","605674.2275407837","605674.2275407837"
"375","623067.358133711","623067.358133711","623067.358133711"
"376","625546.1446926976","625546.1446926976","625546.1446926976"
"377","649193.3571380287","649193.3571380287","649193.3571380287"
"378","614487.2776300849","614487.2776300849","614487.2776300849"
"379","636857.4399738194","636857.4399738194","636857.4399738194"
"380","758223.0629225072","758223.0629225072","758223.0629225072"
"381","622627.9342980576","622627.9342980576","622627.9342980576"
"382","618556.6614065552","618556.6614065552","618556.6614065552"
"383","612699.0676517949","612699.0676517949","612699.0676517949"
"384","676321.5551945016","676321.5551945016","676321.5551945016"
"385","762942.0123196952","762942.0123196952","762942.0123196952"
"386","609287.2662777541","609287.2662777541","609287.2662777541"
"387","612570.828067827","612570.828067827","612570.828067827"
"388","613988.4018150113","613988.4018150113","613988.4018150113"
"389","651803.8904628949","651803.8904628949","651803.8904628949"
"390","606847.0035834067","606847.0035834067","606847.0035834067"
"391","705853.1504713378","705853.1504713378","705853.1504713378"
"392","759684.5800186","759684.5800186","759684.5800186"
"393","740414.4185916813","740414.4185916813","740414.4185916813"
"394","787934.7300957011","787934.7300957011","787934.7300957011"
"395","620623.6592841842","620623.6592841842","620623.6592841842"
"396","778821.6981498195","778821.6981498195","778821.6981498195"
"397","675514.8848641989","675514.8848641989","675514.8848641989"
"398","651539.4863562214","651539.4863562214","651539.4863562214"
"399","632259.6649127923","632259.6649127923","632259.6649127923"
"400","614606.045689914","614606.045689914","614606.045689914"
"401","634714.4598002846","634714.4598002846","634714.4598002846"
"402","636273.2540428666","636273.2540428666","636273.2540428666"
"403","632727.9763947249","632727.9763947249","632727.9763947249"
"404","756539.6258253023","756539.6258253023","756539.6258253023"
"405","677705.3189525832","677705.3189525832","677705.3189525832"
"406","630917.1824298834","630917.1824298834","630917.1824298834"
"407","635645.3335857347","635645.3335857347","635645.3335857347"
"408","614936.6480139976","614936.6480139976","614936.6480139976"
"409","633419.0334759613","633419.0334759613","633419.0334759613"
"410","633739.2095288181","633739.2095288181","633739.2095288181"
"411","635495.473419106","635495.473419106","635495.473419106"
"412","628059.9884264943","628059.9884264943","628059.9884264943"
"413","671352.3235184028","671352.3235184028","671352.3235184028"
"414","622315.73301103","622315.73301103","622315.73301103"
"415","631279.6384728824","631279.6384728824","631279.6384728824"
"416","612736.8500652225","612736.8500652225","612736.8500652225"
"417","637008.9127607831","637008.9127607831","637008.9127607831"
"418","610051.7025988674","610051.7025988674","610051.7025988674"
"419","608271.0390172005","608271.0390172005","608271.0390172005"
"420","796018.895223741","796018.895223741","796018.895223741"
"421","632149.9250507163","632149.9250507163","632149.9250507163"
"422","634913.1788072968","634913.1788072968","634913.1788072968"
"423","643900.564390043","643900.564390043","643900.564390043"
"424","616087.8513040869","616087.8513040869","616087.8513040869"
"425","692307.5775662906","692307.5775662906","692307.5775662906"
"426","618143.5974287597","618143.5974287597","618143.5974287597"
"427","664586.8118905076","664586.8118905076","664586.8118905076"
"428","620515.9718810231","620515.9718810231","620515.9718810231"
"429","622352.5984056336","622352.5984056336","622352.5984056336"
"430","608832.1099821838","608832.1099821838","608832.1099821838"
"431","607389.2779075613","607389.2779075613","607389.2779075613"
"432","633470.4372092435","633470.4372092435","633470.4372092435"
"433","620703.2472980989","620703.2472980989","620703.2472980989"
"434","608522.2250618178","608522.2250618178","608522.2250618178"
"435","606257.1153889319","606257.1153889319","606257.1153889319"
"436","608462.8768642271","608462.8768642271","608462.8768642271"
"437","723509.2159027347","723509.2159027347","723509.2159027347"
"438","620647.4466763695","620647.4466763695","620647.4466763695"
"439","659598.0447457322","659598.0447457322","659598.0447457322"
"440","607985.2672962268","607985.2672962268","607985.2672962268"
"441","607744.4753394972","607744.4753394972","607744.4753394972"
"442","608655.6702640805","608655.6702640805","608655.6702640805"
"443","607822.9143784385","607822.9143784385","607822.9143784385"
"444","608241.2372880046","608241.2372880046","608241.2372880046"
"445","623170.1598477827","623170.1598477827","623170.1598477827"
"446","608210.3088896957","608210.3088896957","608210.3088896957"
"447","655744.4025021001","655744.4025021001","655744.4025021001"
"448","647206.4395855417","647206.4395855417","647206.4395855417"
"449","603321.2872420723","603321.2872420723","603321.2872420723"
"450","608215.7732596335","608215.7732596335","608215.7732596335"
"451","608418.6670332764","608418.6670332764","608418.6670332764"
"452","604024.4139898635","604024.4139898635","604024.4139898635"
"453","633331.6516899337","633331.6516899337","633331.6516899337"
"454","637473.6008083327","637473.6008083327","637473.6008083327"
"455","652420.5091378686","652420.5091378686","652420.5091378686"
"456","622304.8911695642","622304.8911695642","622304.8911695642"
"457","609879.1956737784","609879.1956737784","609879.1956737784"
"458","604544.3100143763","604544.3100143763","604544.3100143763"
"459","634577.0670369393","634577.0670369393","634577.0670369393"
"460","604365.84883966","604365.84883966","604365.84883966"
"461","604224.7514460051","604224.7514460051","604224.7514460051"
"462","606652.2632879062","606652.2632879062","606652.2632879062"
"463","606479.555551921","606479.555551921","606479.555551921"
"464","611583.3864654325","611583.3864654325","611583.3864654325"
"465","605870.4468845483","605870.4468845483","605870.4468845483"
"466","656578.0640106936","656578.0640106936","656578.0640106936"
"467","630299.0196003373","630299.0196003373","630299.0196003373"
"468","612190.6787093851","612190.6787093851","612190.6787093851"
"469","605334.6677654607","605334.6677654607","605334.6677654607"
"470","611987.3319948425","611987.3319948425","611987.3319948425"
"471","683480.2576580286","683480.2576580286","683480.2576580286"
"472","614782.9734260467","614782.9734260467","614782.9734260467"
"473","610992.8400303108","610992.8400303108","610992.8400303108"
"474","622901.9908753237","622901.9908753237","622901.9908753237"
"475","611987.3319948425","611987.3319948425","611987.3319948425"
"476","612279.1119148993","612279.1119148993","612279.1119148993"
"477","754869.0427444291","754869.0427444291","754869.0427444291"
"478","680958.2992489075","680958.2992489075","680958.2992489075"
"479","611958.4751552204","611958.4751552204","611958.4751552204"
"480","638947.5260119971","638947.5260119971","638947.5260119971"
"481","610627.4775994091","610627.4775994091","610627.4775994091"
"482","623147.9730858208","623147.9730858208","623147.9730858208"
"483","740421.6276051616","740421.6276051616","740421.6276051616"
"484","629473.6933962001","629473.6933962001","629473.6933962001"
"485","631196.6380667906","631196.6380667906","631196.6380667906"
"486","631253.178164039","631253.178164039","631253.178164039"
"487","609335.5369320675","609335.5369320675","609335.5369320675"
"488","605049.1587158061","605049.1587158061","605049.1587158061"
"489","605033.7918618224","605033.7918618224","605033.7918618224"
"490","612205.7521293432","612205.7521293432","612205.7521293432"
"491","629949.7329303572","629949.7329303572","629949.7329303572"
"492","630333.3280914399","630333.3280914399","630333.3280914399"
"493","611739.5890496611","611739.5890496611","611739.5890496611"
"494","610819.1715283998","610819.1715283998","610819.1715283998"
"495","704545.1002936211","704545.1002936211","704545.1002936211"
"496","630890.1410927309","630890.1410927309","630890.1410927309"
"497","610735.7574463506","610735.7574463506","610735.7574463506"
